Episode,Loss,Epsilon,WinRandom,WinChampion
71050,0.4778,0.1000,,
71100,0.5130,0.1000,,
71150,0.4653,0.1000,,
71200,0.5103,0.1000,,
71250,0.6834,0.1000,,
71250,0.6834,0.1000,94.0%,
71300,0.6100,0.1000,,
71350,0.6597,0.1000,,
71400,0.7501,0.1000,,
71450,0.4851,0.1000,,
71500,0.4282,0.1000,,
71500,0.4282,0.1000,96.0%,
71550,0.5968,0.1000,,
71600,0.6754,0.1000,,
71650,0.6023,0.1000,,
71700,0.5346,0.1000,,
71750,0.5001,0.1000,,
71750,0.5001,0.1000,97.0%,
71800,0.5135,0.1000,,
71850,0.4987,0.1000,,
71900,0.4800,0.1000,,
71950,0.6611,0.1000,,
72000,0.6941,0.1000,,
72000,0.6941,0.1000,66.0%,
72000,0.6941,0.1000,,Failed
72050,0.6017,0.1000,,
72100,0.5535,0.1000,,
72150,0.4147,0.1000,,
72200,0.4209,0.1000,,
72250,0.5422,0.1000,,
72250,0.5422,0.1000,89.0%,
72300,0.4918,0.1000,,
72350,0.6349,0.1000,,
72400,0.6821,0.1000,,
72450,0.5946,0.1000,,
72500,0.5930,0.1000,,
72500,0.5930,0.1000,85.0%,
72550,0.4712,0.1000,,
72600,0.3370,0.1000,,
72650,0.3416,0.1000,,
72700,0.5197,0.1000,,
72750,0.6856,0.1000,,
72750,0.6856,0.1000,94.0%,
72800,0.7369,0.1000,,
72850,0.7182,0.1000,,
72900,0.5315,0.1000,,
72950,0.3828,0.1000,,
73000,0.5085,0.1000,,
73000,0.5085,0.1000,57.0%,
73000,0.5085,0.1000,,Failed
73050,0.4493,0.1000,,
73100,0.4484,0.1000,,
73150,0.6142,0.1000,,
73200,0.5892,0.1000,,
73250,0.4407,0.1000,,
73250,0.4407,0.1000,87.0%,
73300,0.3845,0.1000,,
73350,0.4677,0.1000,,
73400,0.5449,0.1000,,
73450,0.5855,0.1000,,
73500,0.5764,0.1000,,
73500,0.5764,0.1000,94.0%,
73550,0.4905,0.1000,,
73600,0.5040,0.1000,,
73650,0.5352,0.1000,,
73700,0.3829,0.1000,,
73750,0.4581,0.1000,,
73750,0.4581,0.1000,94.0%,
73800,0.6784,0.1000,,
73850,0.6246,0.1000,,
73900,0.4216,0.1000,,
73950,0.3098,0.1000,,
74000,0.3620,0.1000,,
74000,0.3620,0.1000,92.0%,
74000,0.3620,0.1000,,Failed
74050,0.5342,0.1000,,
74100,0.4759,0.1000,,
74150,0.3420,0.1000,,
74200,0.4080,0.1000,,
74250,0.4337,0.1000,,
74250,0.4337,0.1000,95.0%,
74300,0.5895,0.1000,,
74350,0.6398,0.1000,,
74400,0.5765,0.1000,,
74450,0.6301,0.1000,,
74500,0.6005,0.1000,,
74500,0.6005,0.1000,91.0%,
74550,0.5488,0.1000,,
74600,0.6466,0.1000,,
74650,0.6253,0.1000,,
74700,0.5372,0.1000,,
74750,0.5688,0.1000,,
74750,0.5688,0.1000,78.0%,
74800,0.5328,0.1000,,
74850,0.4462,0.1000,,
74900,0.5404,0.1000,,
74950,0.6513,0.1000,,
75000,0.5273,0.1000,,
75000,0.5273,0.1000,92.0%,
75000,0.5273,0.1000,,Promoted
75050,0.5846,0.1000,,
75100,0.5369,0.1000,,
75150,0.4687,0.1000,,
75200,0.5480,0.1000,,
75250,0.4801,0.1000,,
75250,0.4801,0.1000,78.0%,
75300,0.6306,0.1000,,
75350,0.6089,0.1000,,
75400,0.4131,0.1000,,
75450,0.6303,0.1000,,
75500,0.6576,0.1000,,
75500,0.6576,0.1000,73.0%,
75550,0.5260,0.1000,,
75600,0.5974,0.1000,,
75650,0.5536,0.1000,,
75700,0.5806,0.1000,,
75750,0.7120,0.1000,,
75750,0.7120,0.1000,77.0%,
75800,0.6505,0.1000,,
75850,0.5404,0.1000,,
75900,0.5900,0.1000,,
75950,0.6275,0.1000,,
76000,0.4342,0.1000,,
76000,0.4342,0.1000,87.0%,
76000,0.4342,0.1000,,Failed
76050,0.4160,0.1000,,
76100,0.5442,0.1000,,
76150,0.4520,0.1000,,
76200,0.5047,0.1000,,
76250,0.6699,0.1000,,
76250,0.6699,0.1000,89.0%,
76300,0.6146,0.1000,,
76350,0.4662,0.1000,,
76400,0.5762,0.1000,,
76450,0.6372,0.1000,,
76500,0.3871,0.1000,,
76500,0.3871,0.1000,99.0%,
76550,0.3966,0.1000,,
76600,0.6397,0.1000,,
76650,0.5951,0.1000,,
76700,0.5034,0.1000,,
76750,0.5614,0.1000,,
76750,0.5614,0.1000,78.0%,
76800,0.4666,0.1000,,
76850,0.5411,0.1000,,
76900,0.5191,0.1000,,
76950,0.3330,0.1000,,
77000,0.4983,0.1000,,
77000,0.4983,0.1000,82.0%,
77000,0.4983,0.1000,,Promoted
77050,0.6405,0.1000,,
77100,0.6039,0.1000,,
77150,0.5450,0.1000,,
77200,0.5070,0.1000,,
77250,0.4829,0.1000,,
77250,0.4829,0.1000,64.0%,
77300,0.4696,0.1000,,
77350,0.4636,0.1000,,
77400,0.4704,0.1000,,
77450,0.4337,0.1000,,
77500,0.4676,0.1000,,
77500,0.4676,0.1000,77.0%,
77550,0.6063,0.1000,,
77600,0.6326,0.1000,,
77650,0.6167,0.1000,,
77700,0.6505,0.1000,,
77750,0.5977,0.1000,,
77750,0.5977,0.1000,89.0%,
77800,0.5278,0.1000,,
77850,0.4401,0.1000,,
77900,0.4285,0.1000,,
77950,0.5068,0.1000,,
78000,0.6798,0.1000,,
78000,0.6798,0.1000,80.0%,
78000,0.6798,0.1000,,Failed
78050,0.8307,0.1000,,
78100,0.6797,0.1000,,
78150,0.5425,0.1000,,
78200,0.4472,0.1000,,
78250,0.4536,0.1000,,
78250,0.4536,0.1000,82.0%,
78300,0.6031,0.1000,,
78350,0.5757,0.1000,,
78400,0.5742,0.1000,,
78450,0.5366,0.1000,,
78500,0.4787,0.1000,,
78500,0.4787,0.1000,97.0%,
78550,0.5515,0.1000,,
78600,0.5426,0.1000,,
78650,0.5635,0.1000,,
78700,0.5301,0.1000,,
78750,0.5660,0.1000,,
78750,0.5660,0.1000,95.0%,
78800,0.5894,0.1000,,
78850,0.5383,0.1000,,
78900,0.6099,0.1000,,
78950,0.7525,0.1000,,
79000,0.5983,0.1000,,
79000,0.5983,0.1000,98.0%,
79000,0.5983,0.1000,,Promoted
79050,0.5324,0.1000,,
79100,0.6112,0.1000,,
79150,0.4360,0.1000,,
79200,0.4884,0.1000,,
79250,0.5183,0.1000,,
79250,0.5183,0.1000,78.0%,
79300,0.4644,0.1000,,
79350,0.4127,0.1000,,
79400,0.5264,0.1000,,
79450,0.5404,0.1000,,
79500,0.4448,0.1000,,
